Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1008158,Decor and Co Warehouse,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,468.0,895.0,1,1,FALSE,N,FALSE,FALSE,N
1004158,"Draperie Decor Interiors, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,260.0,736.1,1,3,FALSE,N,FALSE,FALSE,N
1036504,DUPLICATED Haik Investments Inc. dba James Hom,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Randall Schneck,Randall Schneck,0.0,606.5,0,1,TRUE,N,FALSE,FALSE,N
1005144,Penny Layne,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Randall Schneck,Randall Schneck,10378.0,430.0,7,1,FALSE,N,FALSE,FALSE,N
1027153,Swans Fine Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,6010.0,424.8,1,4,FALSE,N,FALSE,FALSE,N
1035410,Designer's Choice Flooring & Furniture,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Randall Schneck,Randall Schneck,0.0,375.0,0,1,TRUE,N,FALSE,FALSE,N
1021173,KT Hay's Investments DBA Centennial Flooring,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,544.5,175.0,2,1,FALSE,N,FALSE,FALSE,N
1008406,Plus Modern Design,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,1764.6,112.5,1,0,FALSE,N,FALSE,FALSE,N
1015549,Pearson & Company,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1012535,Artis Home Gallerie,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Randall Schneck,Randall Schneck,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
