Rep Detail Report: Sheetal Patel,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
188,1262360.52,1090121.99,71,28352.44,117,1061769.55,68,7,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,11,425181.32,0,,,,,,,,,,
Group 2 Medium Potential: ,42,282392.69,0,,,,,,,,,,
Group 2 High Potential: ,19,186108.9,0,,,,,,,,,,
Group 1 Medium Potential: ,4,150251.19,0,,,,,,,,,,
Group 3 Medium Potential: ,32,35580.29,22,,,,,,,,,,
Group 3 Low Potential: ,66,4592.15,49,,,,,,,,,,
Group 2 Low Potential: ,1,3101.0,0,,,,,,,,,,
Group 3 High Potential: ,13,2914.45,0,,,,,,,,,,
Totals,188,1090121.99,71,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 15 accounts | 575432.51 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1015262,Melanie Lee Interior Design,DESIGN,DESIGN_FIRM,12456.6,10636.6,23,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/12/2020,FALSE,70.5,FALSE
1012215,KM Interiors,DESIGN,DESIGN_FIRM,6949.0,9760.0,4,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/9/2020,FALSE,77.5,FALSE
1018922,Kira David Design,DESIGN,DESIGN_FIRM,7888.0,9583.3,1,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/15/2021,FALSE,64.4,FALSE
1009306,The Paper Chase,DESIGN,DESIGN_FIRM,8203.5,9066.0,7,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/24/2020,FALSE,70.1,FALSE
1018394,JP Interiors,DESIGN,DESIGN_FIRM,0.0,9015.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/15/2021,FALSE,53.3,FALSE
1019732,JWN Designs Inc,DESIGN,DESIGN_FIRM,15362.5,8837.0,5,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/1/2022,FALSE,50.1,FALSE
1012346,Parker Jones Interiors,DESIGN,DESIGN_FIRM,5365.0,8244.0,1,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/4/2020,FALSE,59.6,FALSE
1006893,Oscar Isberian Rugs,RETAIL,MULTIPLE_LOCATIONS,12805.0,8218.78,5,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/2/2020,FALSE,65.1,FALSE
1013290,Tara Shannon LLC,DESIGN,DESIGN_FIRM,132.6,7855.0,1,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/7/2020,FALSE,67.5,FALSE
1006972,"Vermilion Interiors, Inc.",DESIGN,DESIGNER_INDEPENDENT,0.0,7690.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2020,FALSE,56.5,FALSE
1015220,TKS Interior Design and Remodeling of Glen Ellyn,RETAIL,SINGLE_LOCATION,6090.0,7401.0,11,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/20/2020,FALSE,72.3,FALSE
1034837,"Mia Rao Design, Inc",DESIGN,DESIGN_FIRM,3529.0,7298.0,2,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/27/2024,FALSE,55.5,FALSE
1012685,BB Interiors,RETAIL,SINGLE_LOCATION,3308.0,6962.0,1,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/15/2020,FALSE,64.6,FALSE
1007526,Amanda Miller Design Studio,DESIGN,DESIGN_FIRM,11212.5,6759.0,11,13,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/21/2019,FALSE,76.5,FALSE
1013063,Kelly Hurliman Design,DESIGN,DESIGN_FIRM,4250.0,6640.0,2,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2020,FALSE,47.9,FALSE
1006640,Interior Enhancement Group,DESIGN,DESIGN_FIRM,19211.66,6637.0,14,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/5/2019,FALSE,62.0,FALSE
1018203,AKL Architectural Services,DESIGN,DESIGN_FIRM,0.0,6220.5,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/16/2021,FALSE,60.2,FALSE
1002857,Chesterfield Designs,DESIGN,DESIGN_FIRM,17841.31,6036.5,16,16,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/27/2020,FALSE,63.1,FALSE
1012716,"Curly Willow Interiors, Inc.",DESIGN,DESIGN_FIRM,8211.0,5813.6,8,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/8/2020,FALSE,68.6,FALSE
1021023,Brooke Lang Design,DESIGN,DESIGN_FIRM,1794.0,5580.0,3,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/28/2022,FALSE,74.7,FALSE
1026337,JMiracle Designs And Company Inc,DESIGN,DESIGNER_INDEPENDENT,945.0,5477.0,2,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/2/2024,FALSE,84.1,FALSE
1005414,"Pam Maher Design Services, Inc.",DESIGN,DESIGN_FIRM,2555.0,5454.0,1,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/19/2020,FALSE,54.3,FALSE
1023744,NAVYBLACK Studio,DESIGN,DESIGN_FIRM,11110.8,5070.5,6,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/17/2023,FALSE,52.7,FALSE
1036847,Bishop Studio,DESIGN,DESIGN_FIRM,0.0,4953.0,0,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/7/2025,TRUE,72.2,FALSE
1021589,Lily and Grace Interiors,DESIGN,DESIGN_FIRM,8760.0,4711.42,5,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/4/2022,FALSE,71.7,FALSE
1008086,Laurie Wallace Design Services,DESIGN,DESIGN_FIRM,11370.0,4612.0,5,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/8/2019,FALSE,58.5,FALSE
1021361,En Masse Architecture and Design,DESIGN,DESIGN_FIRM,0.0,4405.0,0,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/8/2022,FALSE,48.4,FALSE
1022938,Haven Home Staging & Redesign,DESIGN,DESIGN_FIRM,0.0,4360.0,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/11/2025,TRUE,51.3,FALSE
1017110,Debora Lyn Interior Design,DESIGN,DESIGN_FIRM,2099.1,4275.0,4,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/31/2020,FALSE,67.6,FALSE
1016785,MPINK DESIGN,DESIGN,DESIGN_FIRM,4816.0,3952.0,2,0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/26/2020,FALSE,51.6,FALSE
1022985,adina hall design,DESIGN,DESIGN_FIRM,223.1,3873.0,2,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/19/2023,FALSE,57.0,FALSE
1007936,Michelle Linn Design,DESIGN,DESIGN_FIRM,3032.0,3832.0,2,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/27/2020,FALSE,62.4,FALSE
1020279,Urban Source Design LLC,RETAIL,SINGLE_LOCATION,1154.1,3791.6,4,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/22/2021,FALSE,84.0,FALSE
1015295,STYLE HOUSE,RETAIL,SINGLE_LOCATION,5582.0,3642.6,10,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/3/2020,FALSE,59.8,FALSE
1022129,TrueSpace Design,DESIGN,DESIGN_FIRM,6050.0,3520.5,2,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/1/2023,FALSE,42.3,FALSE
1014521,Andrea Goldman Design,DESIGN,DESIGN_FIRM,19215.1,3452.64,3,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/23/2020,FALSE,45.9,FALSE
1012748,LRS Interiors,DESIGN,DESIGN_FIRM,5682.5,3437.02,10,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/19/2020,FALSE,66.6,FALSE
1012701,Interiors By Maribeth,DESIGN,DESIGN_FIRM,1115.0,3337.84,1,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/10/2021,FALSE,60.0,FALSE
1020820,Linden & Co. Interiors,DESIGN,DESIGN_FIRM,11700.5,3317.34,3,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/4/2022,FALSE,52.6,FALSE
1006690,"Brandys of Burr Ridge, AKA The Design Bar",RETAIL,SINGLE_LOCATION,6596.0,3297.0,8,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/23/2019,FALSE,56.3,FALSE
1003078,"Tom Stringer, Inc.",DESIGN,DESIGN_FIRM,0.0,3285.2,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/8/2019,FALSE,66.1,FALSE
1005718,"These Four Walls, Inc.",RETAIL,SINGLE_LOCATION,4991.5,3245.0,5,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/23/2020,FALSE,52.5,FALSE
1006174,Brynn Olson Design Group,DESIGN,DESIGN_FIRM,19806.5,3205.36,11,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/7/2020,FALSE,54.6,FALSE
1023432,Katherine Lauren Design,DESIGN,DESIGN_FIRM,5666.0,3101.0,2,1,MID_REVENUE,LOW_POTENTIAL,Group 2 Low Potential,1/16/2023,FALSE,37.9,FALSE
