Rep Detail Report V2: Angela Esposito,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:43:50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Lost_Territory,Rev_Lost_Territory,Accounts_Lost_Floor_Active,Rev_Lost_Floor_Active,Accounts_Lost_Floor_Dormant,Rev_Lost_Floor_Dormant
573,282,541609.43,660637.25,2,151,-149,-26.0,669968.78,22681.0,647287.78,97.98,424,1307925.03,288,4115.9,282,335,39,0,0.0,151,22681.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,1,669968.78,0,0,,,,,,,,,,
Group 1 Low Potential: ,7,206418.61,0,0,,,,,,,,,,
Group 2 Low Potential: ,55,410343.21,0,0,,,,,,,,,,
Group 3 High Potential: ,342,17078.53,274,0,,,,,,,,,,
Group 3 Low Potential: ,19,4115.9,14,0,,,,,,,,,,
Totals,424,1307925.03,288,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 8 accounts | $876387.39 revenue,,,,,,,,,,,,,,,
1026750,Interplan,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,75.75,0,2,TRUE,N,FALSE,FALSE,N
1026051,A Royal Interiors,DESIGN,HOSPITALITY,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1018445,"Corporate Environments of GA, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1020917,Spectra Contract Flooring (GA),RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Angela Esposito,Angela Esposito,150.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1014131,Project Plan-It Inc,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1014471,"Susan B. Bozeman Designs, Inc.",DESIGN,DESIGN_FIRM,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1024997,Dane Designs,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Angie Robison,Angela Esposito,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1015378,Larson Nichols,DESIGN,DESIGN_FIRM,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1036141,Redline Design Group (Charlotte),DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1036130,Tangram,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,2,TRUE,N,FALSE,FALSE,N
1035062,Ellis Adams Group,DESIGN,HOSPITALITY,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1035606,Hord Coplan Macht(MD),DESIGN,HOSPITALITY,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1035863,Trestle Studio,DESIGN,HOSPITALITY,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1036110,THA Design + Architecture,DESIGN,HOSPITALITY,Group 3 High Potential,Angela Esposito,Angela Esposito,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
