Rep Detail Report V2: Hana Nassri,,,,,,,,,,,,,,,
Generated: 2025-12-22 11:59:33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
980,114,1909418.67,1854954.57,349,979,-630,-64.29,1876681.09,1852149.57,24531.52,1.32,350,1879486.09,0,0.0,0,68,48,332,1695365.62,544,156783.95,103,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,13,386698.1,0,0,,,,,,,,,,
Group 1 Medium Potential: ,4,93307.62,0,0,,,,,,,,,,
Group 2 High Potential: ,69,505115.3,0,0,,,,,,,,,,
Group 2 Medium Potential: ,128,813087.16,0,0,,,,,,,,,,
Group 2 Low Potential: ,4,14794.0,0,0,,,,,,,,,,
Group 3 High Potential: ,95,46095.81,0,0,,,,,,,,,,
Group 3 Medium Potential: ,13,17721.2,0,2,,,,,,,,,,
Group 3 Low Potential: ,24,2666.9,0,0,,,,,,,,,,
Totals,350,1879486.09,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $480005.72 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1027157,Susan Berg Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2779.0,13992.0,1,6,FALSE,N,FALSE,FALSE,N
1000802,"Nimbus Nine, Inc.",DESIGN,DESIGN_FIRM,Group 2 High Potential,4700.0,13976.0,2,6,FALSE,N,FALSE,FALSE,N
1025388,"Hall & Parlor, Ltd",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4275.0,13839.84,1,1,FALSE,N,FALSE,FALSE,N
1015649,Tickle Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,13633.0,0,6,FALSE,N,FALSE,FALSE,N
1024399,"Placed Interiors, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,9994.0,13320.17,4,9,FALSE,N,FALSE,FALSE,N
1015240,"Poplar Creek Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,625.0,13232.0,2,10,FALSE,N,FALSE,FALSE,N
1020757,LSK Interior Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6151.02,13223.19,7,4,FALSE,N,FALSE,FALSE,N
1011687,LSH Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9819.61,13041.88,13,7,FALSE,N,FALSE,FALSE,N
1018189,"Moose Designs, LLC",DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,12675.0,0,4,FALSE,N,FALSE,FALSE,N
1002759,"Jones Group Interiors, Inc.",DESIGN,DESIGN_FIRM,Group 2 High Potential,4985.0,12469.0,4,10,FALSE,N,FALSE,FALSE,N
1024071,Thomas Juul Hansen,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,15766.0,12458.67,8,0,FALSE,N,FALSE,FALSE,N
1027869,HOMA ENT. CORP - DBA Artistry Design,DESIGN,DESIGNER_NO_SHOWROOM,Group 2 High Potential,0.0,12381.0,0,6,TRUE,N,FALSE,FALSE,N
1017376,Isabella Patrick Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4121.5,12000.0,2,3,FALSE,N,FALSE,FALSE,N
1018415,Andrea Krill Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,5922.55,11838.23,5,8,FALSE,N,FALSE,FALSE,N
