Rep Detail Report: Randall Schneck,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
155,1735276.45,1512559.56,25,12547.45,130,1500012.11,28,5,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,19,769214.31,0,,,,,,,,,,
Group 2 Medium Potential: ,45,316538.75,0,,,,,,,,,,
Group 2 High Potential: ,28,245813.61,0,,,,,,,,,,
Group 1 Medium Potential: ,6,151331.79,0,,,,,,,,,,
Group 3 Medium Potential: ,21,26686.3,10,,,,,,,,,,
Group 3 Low Potential: ,29,1993.3,15,,,,,,,,,,
Group 3 High Potential: ,7,981.5,0,,,,,,,,,,
Totals,155,1512559.56,25,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 25 accounts | 920546.10 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1006921,"Mr. Diggs Dwelling and Co, LLC",RETAIL,SINGLE_LOCATION,17206.0,14902.2,13,22,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/22/2019,FALSE,78.0,FALSE
1022627,The Elements,DESIGN,DESIGN_FIRM,18674.5,14748.95,28,22,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/21/2022,FALSE,63.2,FALSE
1024814,T.Marie Designs,DESIGN,DESIGN_FIRM,4451.0,14629.51,6,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/21/2023,FALSE,80.4,FALSE
1000804,"Julie Hockney, Designer",DESIGN,DESIGN_FIRM,11095.9,13436.19,18,19,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/6/2019,FALSE,70.2,FALSE
1036586,Haik Investments Inc. dba James Home Decor,RETAIL,SINGLE_LOCATION,0.0,12807.62,0,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/5/2025,TRUE,72.3,FALSE
1017458,B. Morton Design,DESIGN,DESIGN_FIRM,18131.5,12398.5,26,13,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/5/2020,FALSE,65.8,FALSE
1007157,Harris Home Interiors,DESIGN,DESIGN_FIRM,3375.0,12380.0,1,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/3/2021,FALSE,63.7,FALSE
1003971,"LK Design, LLC",DESIGN,DESIGN_FIRM,227.3,12231.59,4,0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/14/2020,FALSE,74.6,FALSE
1000992,Interior Design Group,DESIGN,DESIGN_FIRM,13700.0,11736.66,11,13,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/17/2020,FALSE,74.3,FALSE
1000430,Madden-Mcfarland Interiors,DESIGN,DESIGN_FIRM,15685.0,11681.3,7,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/2/2020,FALSE,64.6,FALSE
1006240,By Design,RETAIL,SINGLE_LOCATION,4618.0,11513.5,7,16,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/23/2020,FALSE,79.2,FALSE
1007890,Coffey and Company,DESIGN,DESIGN_FIRM,9228.5,11454.82,4,13,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/30/2019,FALSE,78.4,FALSE
1009720,The Interior Design Firm,DESIGN,DESIGN_FIRM,15173.0,11209.0,15,11,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/29/2019,FALSE,70.4,FALSE
1023610,Roger and Chris LLC,RETAIL,SINGLE_LOCATION,26420.0,10886.5,8,14,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/22/2023,FALSE,61.6,FALSE
1019074,The Porch in Wildwood,RETAIL,SINGLE_LOCATION,11468.5,10771.0,7,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/9/2021,FALSE,69.8,FALSE
1006168,"SRS Design, LLC",DESIGN,DESIGN_FIRM,0.0,10655.0,1,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/18/2020,FALSE,63.3,FALSE
1017479,Design & Detail,DESIGN,DESIGN_FIRM,4093.9,10613.7,3,13,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/30/2020,FALSE,79.5,FALSE
1007334,Groover Interior Design Corp,RETAIL,SINGLE_LOCATION,4250.0,10242.0,3,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/3/2020,FALSE,71.5,FALSE
1002237,Savvy Surroundings,RETAIL,SINGLE_LOCATION,8819.0,10133.17,6,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2020,FALSE,61.9,FALSE
1009714,Melanie By Design,DESIGN,DESIGN_FIRM,2303.98,10098.54,5,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/15/2020,FALSE,81.1,FALSE
1009131,LO Interiors,DESIGN,DESIGNER_INDEPENDENT,17991.39,9872.0,11,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/25/2020,FALSE,66.5,FALSE
1006169,Anderson Interiors,DESIGN,DESIGN_FIRM,0.0,9596.98,0,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/12/2020,FALSE,82.5,FALSE
1037366,Donnelly Interiors   Store: Donnelly Decor,RETAIL,SINGLE_LOCATION,0.0,9539.0,0,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/24/2025,TRUE,64.9,FALSE
1003399,Ruby & Company,DESIGN,DESIGN_FIRM,6615.5,9513.5,15,17,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/20/2019,FALSE,76.4,FALSE
1014572,Marcia Moore Design,DESIGN,DESIGN_FIRM,0.0,9507.0,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/6/2020,FALSE,69.4,FALSE
1001352,"Studio 427, Inc.",RETAIL,SINGLE_LOCATION,5688.0,9395.0,6,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/24/2020,FALSE,68.3,FALSE
1021499,YDesigns,DESIGN,DESIGN_FIRM,6217.0,8860.3,3,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/4/2022,FALSE,71.5,FALSE
1000173,Abide Furniture & Interiors,RETAIL,SINGLE_LOCATION,0.0,8810.4,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/15/2023,FALSE,56.2,FALSE
1017097,Nistenhaus Design LLC,DESIGN,DESIGN_FIRM,9074.0,8226.2,4,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/29/2020,FALSE,62.0,FALSE
1021015,Your Surroundings / DBA Design2Build,DESIGN,DESIGN_FIRM,2898.0,7773.5,3,5,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/21/2022,FALSE,80.1,FALSE
1011108,R. Home Co.,RETAIL,SINGLE_LOCATION,5301.0,7760.0,5,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/12/2019,FALSE,58.9,FALSE
1023391,COHLMIA INTERIORS LLC,RETAIL,SINGLE_LOCATION,0.0,7553.71,1,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/21/2023,FALSE,60.6,FALSE
1008536,JY Design LLC,DESIGN,DESIGN_FIRM,7399.92,7308.48,12,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/7/2019,FALSE,78.8,FALSE
1020806,Caryn Boultinghouse Design Studio,DESIGN,DESIGN_FIRM,7479.4,7229.0,14,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/16/2021,FALSE,70.2,FALSE
1004001,Larry Roberts Interiors,DESIGN,DESIGN_FIRM,31996.85,7043.0,17,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/1/2021,FALSE,48.1,FALSE
1000406,Mansion Of Central Iowa LLC,RETAIL,SINGLE_LOCATION,2371.0,6604.0,3,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/11/2020,FALSE,71.5,FALSE
1003507,D Lux Interiors,DESIGN,DESIGN_FIRM,3595.6,6275.0,5,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/27/2019,FALSE,61.6,FALSE
1035186,West Haven Design Co.,DESIGN,DESIGNER_INDEPENDENT,32.4,6251.8,1,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/4/2024,FALSE,70.9,FALSE
1009395,Nola Shivers - Decorating Den,DESIGN,DESIGN_FIRM,10100.8,5774.0,13,9,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/18/2019,FALSE,73.6,FALSE
1015343,Ellie Redders Interiors,DESIGN,DESIGN_FIRM,11544.0,5520.6,9,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/6/2020,FALSE,58.2,FALSE
1009401,Fritz + Lloyd Interiors LLC,DESIGN,DESIGN_FIRM,15583.0,5255.75,9,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/2/2020,FALSE,55.7,FALSE
1007610,Designing Women,DESIGN,DESIGN_FIRM,420.0,5148.0,2,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/17/2020,FALSE,68.0,FALSE
1003445,Absolute Design Interiors Ltd.,DESIGN,DESIGN_FIRM,535.0,5108.0,2,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/23/2019,FALSE,80.6,FALSE
1023490,Eckard Distributors Inc,RETAIL,MULTIPLE_LOCATIONS,90.0,5020.0,1,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/25/2023,FALSE,61.3,FALSE
1009542,Pizazz 2 Interiors,DESIGN,DESIGN_FIRM,7820.0,4955.0,4,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/14/2020,FALSE,58.2,FALSE
1004002,Lauren Alexandra,DESIGN,DESIGN_FIRM,5796.58,4711.18,4,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/22/2019,FALSE,52.1,FALSE
1021456,FE FI FAUX STUDIOS INC,DESIGN,DESIGN_FIRM,17945.0,4635.0,5,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/22/2022,FALSE,56.6,FALSE
1003637,"Interior Design Associates, Inc. (MO)",DESIGN,DESIGN_FIRM,6250.4,4598.24,9,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/27/2020,FALSE,54.5,FALSE
1002311,Studio Home,DESIGN,DESIGN_FIRM,7790.0,4452.5,16,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/14/2019,FALSE,66.4,FALSE
1004240,Interior Design Group (IA),DESIGN,DESIGN_FIRM,14329.8,4298.42,12,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/10/2019,FALSE,67.8,FALSE
1017264,AsterHouse Design,RETAIL,SINGLE_LOCATION,3787.0,4253.0,4,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/17/2020,FALSE,51.8,FALSE
1009573,The White Hare,RETAIL,SINGLE_LOCATION,928.0,4190.0,4,11,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/23/2023,FALSE,80.7,FALSE
1007326,Studio 160,DESIGN,DESIGN_FIRM,2558.5,4171.0,4,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/29/2020,FALSE,55.8,FALSE
1026995,Thomas Grey Interiors,RETAIL,SINGLE_LOCATION,3920.0,4120.0,2,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/16/2024,FALSE,52.0,FALSE
1000415,All American Business LLC,RETAIL,MULTIPLE_LOCATIONS,13580.0,4098.0,14,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/29/2019,FALSE,54.9,FALSE
1035917,Eden + Gray Design Build,DESIGN,ARCHITECT_BUILDER,0.0,4011.0,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/31/2025,TRUE,72.5,FALSE
1012430,Creative Home,DESIGN,DESIGN_FIRM,4001.0,3980.0,5,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/27/2021,FALSE,56.3,FALSE
1019986,Hearts & Fire,RETAIL,SINGLE_LOCATION,6319.0,3926.0,3,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/2/2021,FALSE,53.7,FALSE
1027143,"MAVEN TILE & HOME DESIGN, LLC",RETAIL,SINGLE_LOCATION,1773.0,3878.5,3,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/22/2024,FALSE,64.7,FALSE
1014051,Miller Design Group -Decorating Den,DESIGN,DESIGN_FIRM,3185.0,3755.0,7,11,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/8/2020,FALSE,70.3,FALSE
1012820,Nest Interiors LLC (KS),DESIGN,DESIGN_FIRM,13682.1,3703.0,17,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/14/2020,FALSE,66.0,FALSE
1024609,RH Interiors LLC,DESIGN,DESIGN_FIRM,0.0,3181.5,0,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/2/2023,FALSE,54.7,FALSE
1007942,Foundry Home Interior Design,DESIGN,DESIGN_FIRM,2747.0,3088.0,3,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/22/2019,FALSE,55.7,FALSE
1010542,Michelle Ford Design,DESIGN,DESIGN_FIRM,0.0,3020.0,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/26/2020,FALSE,56.3,FALSE
1011133,Life Style Design LLC dba Stev Mark,RETAIL,SINGLE_LOCATION,8133.2,2774.7,12,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/24/2019,FALSE,56.7,FALSE
1006207,Coverings Design,DESIGN,DESIGN_FIRM,38551.36,2772.63,28,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2020,FALSE,54.2,FALSE
1010965,Lori Wiles Design,DESIGN,DESIGN_FIRM,175.0,2723.05,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/23/2020,FALSE,70.9,FALSE
1005540,Interior Design Beth Phillips,DESIGN,DESIGN_FIRM,5749.0,2721.0,5,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/21/2020,FALSE,55.6,FALSE
1035800,Purpose Interior Design + Homewares,DESIGN,DESIGN_FIRM,0.0,2700.67,0,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/22/2025,TRUE,78.8,FALSE
1009773,Noble Designs,DESIGN,DESIGN_FIRM,22440.4,2570.0,7,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/11/2020,FALSE,46.6,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 32 accounts | 17113.65 revenue,,,,,,,,,,,,,,
(Non-DESIGN accounts or New 2025 customers - protected from floor),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1006381,Hutch,RETAIL,SINGLE_LOCATION,6346.0,2239.0,7,4,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,1/22/2020,FALSE,63.3,FALSE
1006503,"Wright Furniture Co, Inc.",RETAIL,SINGLE_LOCATION,1264.38,2192.5,3,4,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,1/16/2020,FALSE,55.0,FALSE
1006600,"The Furniture Look, Inc.",RETAIL,SINGLE_LOCATION,9757.0,2152.0,12,6,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,11/1/2019,FALSE,55.1,FALSE
1003947,Frill-MMarsh Design,RETAIL,SINGLE_LOCATION,2470.5,1662.5,5,4,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,2/14/2020,FALSE,54.1,FALSE
1020647,Allure & Co.,RETAIL,SINGLE_LOCATION,0.0,1572.0,0,3,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,12/6/2021,FALSE,57.7,FALSE
1022850,Nelson Designs,RETAIL,SINGLE_LOCATION,0.0,1200.0,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,4/10/2024,FALSE,52.3,FALSE
1005532,Feldkamps Furniture,RETAIL,MULTIPLE_LOCATIONS,1928.0,1180.0,2,3,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,1/7/2020,FALSE,50.6,FALSE
1000413,Amini's Galleria (KS),RETAIL,SINGLE_LOCATION,5890.0,1160.75,6,2,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,11/27/2019,FALSE,41.7,FALSE
1008158,Decor and Co Warehouse,RETAIL,SINGLE_LOCATION,468.0,895.0,1,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,9/3/2019,FALSE,42.8,FALSE
