Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1010627,Gables New York,DESIGN,DESIGN_FIRM,Group 2 High Potential,Lorne Gardner,Lorne Gardner,925.0,3974.0,0,4,FALSE,N,FALSE,FALSE,N
1005823,Karen Bowen Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,2017.0,3899.0,1,5,FALSE,N,FALSE,FALSE,N
1016851,Fez & Ivy,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,10083.0,3876.85,21,8,FALSE,N,FALSE,FALSE,N
1002855,Palmray Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,1085.0,3735.0,4,2,FALSE,N,FALSE,FALSE,N
1000688,Meg Braff Interiors Inc,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,3709.0,3525.0,2,2,FALSE,N,FALSE,FALSE,N
1003043,Baltimore Design Center,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Lorne Gardner,Lorne Gardner,1483.0,3390.0,2,1,FALSE,N,FALSE,FALSE,N
1011006,Debra Geller Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,7289.13,3382.0,3,6,FALSE,N,FALSE,FALSE,N
1036429,Carpet Network & Floor Coverings International,DESIGN,DESIGN_FIRM,Group 2 High Potential,Lorne Gardner,Lorne Gardner,0.0,3265.0,0,1,TRUE,N,FALSE,FALSE,N
1019672,Design Furniture Outlet,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,5285.0,3185.0,4,4,FALSE,N,FALSE,FALSE,N
1000669,Vitoch Interiors Ltd.,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,2303.0,3050.0,3,3,FALSE,N,FALSE,FALSE,N
1005602,Interiors By Sabrina,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,441.0,2852.0,1,4,FALSE,N,FALSE,FALSE,N
1017006,Marie Burgos Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Low Potential,Lorne Gardner,Lorne Gardner,3220.0,2805.0,1,2,FALSE,N,FALSE,FALSE,N
1024021,Julie Muscato Home & Gift,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,3764.0,2800.0,2,2,FALSE,N,FALSE,FALSE,N
1004895,"Cocobolo Interiors, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,1164.5,2584.0,2,2,FALSE,N,FALSE,FALSE,N
1024796,bowerbirds inc.,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Lorne Gardner,Lorne Gardner,1919.0,2560.0,3,1,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 52 accounts | $13990.94 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1037307,Bentley Jane,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,2414.04,0,1,TRUE,N,FALSE,FALSE,N
1001522,Johnny Appleseed Farm,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Lorne Gardner,Lorne Gardner,9787.8,2378.2,9,2,FALSE,N,FALSE,FALSE,N
1036555,Jamie D Interiors,DESIGN,DESIGN_FIRM,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,2230.0,0,1,TRUE,N,FALSE,FALSE,N
1014560,Suite Pieces,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Lorne Gardner,Lorne Gardner,915.0,1955.0,1,2,FALSE,N,FALSE,FALSE,N
1000482,Markarian and Sons,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Lorne Gardner,Lorne Gardner,25.0,1079.0,0,2,FALSE,N,FALSE,FALSE,N
1015140,Gansett Lane Home,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Lorne Gardner,Lorne Gardner,1162.0,1055.0,2,2,FALSE,N,FALSE,FALSE,N
1017042,Van Den Loom,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,2220.0,985.5,1,1,FALSE,N,FALSE,FALSE,N
1009123,Sea Green Designs,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Lorne Gardner,Lorne Gardner,5798.0,570.1,5,4,FALSE,N,FALSE,FALSE,N
1036655,Frederick Tang Architecture,DESIGN,DESIGN_FIRM,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,360.0,0,1,TRUE,N,FALSE,FALSE,N
1036204,COU carpets corp,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,300.0,0,1,TRUE,N,FALSE,FALSE,N
1011195,CLS Custom Upholsterers,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,230.0,245.0,1,1,FALSE,N,FALSE,FALSE,N
1010112,brassandburl.com,E-TAILER,SPECIALTY,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,1782.0,227.9,5,1,FALSE,N,FALSE,FALSE,N
1010338,"CR Wallauer and Co, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Lorne Gardner,Lorne Gardner,245.0,100.0,1,1,FALSE,N,FALSE,FALSE,N
1004328,The Things I Love,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Lorne Gardner,Lorne Gardner,0.0,100.0,0,0,FALSE,N,FALSE,FALSE,N
1000370,David Tiftickjin And Sons,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Lorne Gardner,Lorne Gardner,0.0,25.0,0,1,FALSE,N,FALSE,FALSE,N
1000737,Gill Carpet Of Southampton,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000771,Lake Placid Rug and Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005969,Westchester House and Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003074,"Designers North Carpet, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,3195.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1004061,Lillian August Corp.,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,1845.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1024617,The Hamptons Home by Mariana Montesdeoca,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,9810.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1010534,Spaces By Deborah Baum,DESIGN,DESIGN_FIRM,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1007179,A-1 Interior Carpets,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1008324,"Marc Williams Interiors, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1007165,"Hammertown Barn, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,860.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1006412,Just 4 The Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,442.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1006495,Silverwood Home and Gallery,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1007062,Carpet and Design Emporium,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1016298,Hudson Home (NY),RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1016913,Casa Chetta,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1018869,Ibo Interiors Corp dba peace + RIOT,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,150.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1019961,United Carpet Brokers inc,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1013277,Blinds and Beyond,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,310.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1011614,Sam Peter Furniture,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1014107,Zimmerman's Home,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,897.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1011382,"M Katz and Sons, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1036314,creative designs by sofia,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1022133,RAM DESIGN LLC,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,6830.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1020217,WELLSVILLE CARPET TOWN INC.,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1020141,ESK Corp Dinettes etc DBA Dinetc,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1035111,Leon Berry Inteiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1024788,Davis Furniture,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1028032,"Mastour Galleries, Inc",RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1025817,Christine Lawrence/Infinite Decor,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,380.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1036462,Warehouse127 home,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1036139,Gina Ireland Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1035469,"United Carpet Brokers, Inc.",RETAIL,SINGLE_LOCATION,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1036430,Top Rail Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1036613,Rita Godin Home LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1036456,NY Window Fashion,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,0,TRUE,N,FALSE,FALSE,N
1036774,Magdalena Keck Inc.,DESIGN,DESIGN_FIRM,Group 3 High Potential,Lorne Gardner,Lorne Gardner,0.0,0.0,0,1,TRUE,N,FALSE,FALSE,N
1010218,SS Lorne Gardner,INTERNAL,SALES_REP,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,0.0,-33.8,0,0,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
ZERO REVENUE ACCOUNTS: 36 accounts (11 are new 2025 customers),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1024617,The Hamptons Home by Mariana Montesdeoca,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,9810.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1022133,RAM DESIGN LLC,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,6830.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1003074,"Designers North Carpet, Inc.",RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,3195.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1004061,Lillian August Corp.,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Lorne Gardner,Lorne Gardner,1845.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
