Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1017613,"Living Environments Design, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),4164.0,6726.0,2,5,FALSE,N,FALSE,FALSE,N
1027527,Valley Ridge Furniture,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),7188.0,6695.0,7,3,FALSE,N,FALSE,FALSE,N
1006829,Kelly Harvey Living inc.,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,6643.6,0,3,FALSE,N,FALSE,FALSE,N
1036118,Bold Beautiful Spaces Inc.,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,6375.0,0,2,TRUE,N,FALSE,FALSE,N
1021062,Shoppe JV Interiors - Jessica Velikovsky Interiors,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),4082.5,6238.0,6,10,FALSE,N,FALSE,FALSE,N
1012125,Jadco Construction,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),14525.0,6140.0,4,3,FALSE,N,FALSE,FALSE,N
1012369,Studio Ridge Residential,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),920.0,6090.0,1,3,FALSE,N,FALSE,FALSE,N
1021763,Figure3,DESIGN,DESIGN_FIRM,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,6040.0,0,1,TRUE,N,FALSE,FALSE,N
1035814,Trove Living,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,5860.0,0,5,TRUE,N,FALSE,FALSE,N
1001519,Windows Of Fashion (Canada),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),7708.7,5516.15,3,7,FALSE,N,FALSE,FALSE,N
1019287,Tamara Wouters Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),0.0,5456.0,0,5,TRUE,N,FALSE,FALSE,N
1009165,Decorating Den Interiors - CPI Team,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),6229.75,5066.4,16,10,FALSE,N,FALSE,FALSE,N
1006934,Portobello Home,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),5981.25,4823.0,8,14,FALSE,N,FALSE,FALSE,N
1005199,Inhabit Interiors and Design,RETAIL,SINGLE_LOCATION,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),699.0,4670.0,2,3,FALSE,N,FALSE,FALSE,N
1016199,BSW Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),1210.0,4490.48,2,2,FALSE,N,FALSE,FALSE,N
1010931,Portico Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Shelly Meshwork (CA),Shelly Meshwork (CA),7633.5,4390.0,3,5,FALSE,N,FALSE,FALSE,N
