Rep Detail Report V2: Wesley Hood,,,,,,,,,,,,,,,
Generated: 2025-12-22 16:14:38,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
723,49,2390069.19,2198108.3,216,661,-445,-61.55,1059648.75,1718372.68,-658723.93,-29.97,278,1539384.37,1,0.0,0,45,29,214,1569464.74,406,148907.94,41,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,8,223304.21,0,0,,,,,,,,,,
Group 1 Medium Potential: ,4,95711.18,0,0,,,,,,,,,,
Group 2 High Potential: ,56,407977.12,0,0,,,,,,,,,,
Group 2 Medium Potential: ,120,757962.68,0,0,,,,,,,,,,
Group 2 Low Potential: ,5,15347.15,0,0,,,,,,,,,,
Group 3 High Potential: ,62,35324.43,0,0,,,,,,,,,,
Group 3 Medium Potential: ,3,4238.4,0,0,,,,,,,,,,
Group 3 Low Potential: ,20,-480.8,1,1,,,,,,,,,,
Totals,278,1539384.37,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 12 accounts | $319015.39 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1013021,House Seven Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3142.0,10106.5,1,3,FALSE,N,FALSE,FALSE,N
1023601,Seriously Sari Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,842.0,10085.0,2,6,FALSE,N,FALSE,FALSE,N
1017297,Lifestyled by Christy,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4971.0,9988.49,4,0,FALSE,N,FALSE,FALSE,N
1014980,C. Newman Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,10266.14,9967.33,4,11,FALSE,N,FALSE,FALSE,N
1016519,"Kari Singleton Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4421.0,9880.8,3,6,FALSE,N,FALSE,FALSE,N
1011123,Signature Design Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6390.0,9667.24,5,8,FALSE,N,FALSE,FALSE,N
1023758,MFCDC/Margaret Carroll Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,9646.7,0,4,FALSE,N,FALSE,FALSE,N
1011931,"Ash Interiors and Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2793.1,9567.0,6,12,FALSE,N,FALSE,FALSE,N
1023288,"Liz Mamana, Style Advocate LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2962.7,9505.0,2,5,FALSE,N,FALSE,FALSE,N
1016288,Marilyn Greene Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,8360.0,9476.0,2,4,FALSE,N,FALSE,FALSE,N
1026521,Archipelago Design Group,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,13892.65,9380.44,5,3,FALSE,N,FALSE,FALSE,N
1018707,K Decor Inc,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,17473.55,9338.5,15,8,FALSE,N,FALSE,FALSE,N
1014400,Amy D. Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,9295.0,0,8,FALSE,N,FALSE,FALSE,N
1019185,Lauren Benditzky Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,876.0,9189.0,1,1,FALSE,N,FALSE,FALSE,N
1004138,"Lisa Lynn Design Services, LLC",DESIGN,DESIGN_FIRM,Group 2 High Potential,4768.4,9165.0,6,7,FALSE,N,FALSE,FALSE,N
1037035,Franklin House Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,9119.0,0,2,TRUE,N,FALSE,FALSE,N
1020759,HB Brown Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,25.0,9004.0,0,3,FALSE,N,FALSE,FALSE,N
1036283,Dayton Street Development,DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,0.0,9001.5,0,3,TRUE,N,FALSE,FALSE,N
1026658,RedBird ReDesign,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,8827.4,2,2,FALSE,N,FALSE,FALSE,N
1013392,Sloane Wyler Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,14088.0,8647.0,6,5,FALSE,N,FALSE,FALSE,N
1035610,Elizabeth Scott Design Group,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,8614.0,0,13,TRUE,N,FALSE,FALSE,N
1016769,"HaylieRead Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,12603.3,8468.0,8,5,FALSE,N,FALSE,FALSE,N
1001656,Kathy Corbet Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,9054.0,8379.0,4,3,FALSE,N,FALSE,FALSE,N
1011970,Washington Workplace,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10839.5,8336.13,10,13,FALSE,N,FALSE,FALSE,N
1014732,Creative Group Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6285.0,8321.0,4,2,FALSE,N,FALSE,FALSE,N
1000146,Beth Downs Interiors Ltd.,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,14107.5,8139.19,7,8,FALSE,N,FALSE,FALSE,N
1015321,White Olive Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4190.0,8093.0,2,3,FALSE,N,FALSE,FALSE,N
1035179,LaBelle Maison,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,7946.4,0,5,TRUE,N,FALSE,FALSE,N
1018891,JAM Interior Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,12176.0,7653.0,8,4,FALSE,N,FALSE,FALSE,N
1017742,Susan Yeley Homes,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,24342.14,7636.1,20,6,FALSE,N,FALSE,FALSE,N
1037459,"Drozd Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,7457.0,0,5,TRUE,N,FALSE,FALSE,N
1020752,Txtur/Chervan,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,23638.7,7427.0,12,11,FALSE,N,FALSE,FALSE,N
1017803,Amelia Knox Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2595.0,7351.17,2,5,FALSE,N,FALSE,FALSE,N
1026191,Brian Ferguson Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1062.0,7324.72,4,0,FALSE,N,FALSE,FALSE,N
1024734,Beaut Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2094.04,7252.27,1,7,FALSE,N,FALSE,FALSE,N
1000328,Rachel Brosky Inc.,DESIGN,DESIGN_FIRM,Group 2 High Potential,2040.0,7185.0,2,4,FALSE,N,FALSE,FALSE,N
1014669,Asha Maia Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9200.5,7145.0,10,9,FALSE,N,FALSE,FALSE,N
1012122,Antonella Cestone Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,8498.59,7099.0,6,4,FALSE,N,FALSE,FALSE,N
1005060,Michelle Ramaker Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,641.0,7060.0,1,5,FALSE,N,FALSE,FALSE,N
1021424,Q Refined,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1652.5,7037.0,1,1,FALSE,N,FALSE,FALSE,N
1026195,Allison Henry Interior Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1400.0,7007.0,1,4,FALSE,N,FALSE,FALSE,N
1021043,Gift Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,12691.32,6735.0,6,5,FALSE,N,FALSE,FALSE,N
1003101,"Loudoun Modern, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,6724.5,0,4,FALSE,N,FALSE,FALSE,N
1035293,Ella Lee Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,6688.54,0,5,FALSE,N,FALSE,FALSE,N
1037748,Lynn & Campbell,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,6578.62,0,3,TRUE,N,FALSE,FALSE,N
1009457,Bowling Green Home Furnishings,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,14515.7,6271.0,13,8,FALSE,N,FALSE,FALSE,N
1006487,Divvy House,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2689.0,6228.5,4,3,FALSE,N,FALSE,FALSE,N
1036905,Jen Ousley Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,6225.9,0,2,TRUE,N,FALSE,FALSE,N
1022443,Jolly Ollie DBA Betsy Kraft Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,150.0,6216.8,0,6,FALSE,N,FALSE,FALSE,N
1011726,"Interior Spaces, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,6188.0,0,3,FALSE,N,FALSE,FALSE,N
1001839,Manlove & Company Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1153.0,6167.0,2,4,FALSE,N,FALSE,FALSE,N
1008971,"N Wirt Design, Inc",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,7501.5,6160.0,14,4,FALSE,N,FALSE,FALSE,N
1035976,Caroline & Company Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,6151.0,0,2,TRUE,N,FALSE,FALSE,N
