Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1004620,Kristen Biagini Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,David Glassman,David Glassman,26792.4,17222.76,24,15,FALSE,N,FALSE,FALSE,N
1022735,J Holland Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,24637.9,17193.0,14,10,FALSE,N,FALSE,FALSE,N
1000565,"Wilford and Lee, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,David Glassman,David Glassman,11212.1,17173.1,9,16,FALSE,N,FALSE,FALSE,N
1010317,Coin and Co Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,28245.0,16677.0,26,18,FALSE,N,FALSE,FALSE,N
1000783,Smart Interiors Inc.,DESIGN,DESIGN_FIRM,Group 2 High Potential,David Glassman,David Glassman,2158.0,16663.0,2,14,FALSE,N,FALSE,FALSE,N
1004922,Bella Beach,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,David Glassman,David Glassman,20415.44,16634.3,22,14,FALSE,N,FALSE,FALSE,N
1025487,Ponton Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,7352.0,16382.0,3,6,FALSE,N,FALSE,FALSE,N
1027483,Annabelles Furniture,RETAIL,MULTIPLE_LOCATIONS,Group 2 High Potential,David Glassman,David Glassman,4910.0,16296.0,4,15,FALSE,N,FALSE,FALSE,N
1036272,Furniture South,RETAIL,SINGLE_LOCATION,Group 2 High Potential,David Glassman,David Glassman,0.0,16291.0,0,10,TRUE,N,FALSE,FALSE,N
1017114,DAN RAKDESIGN FLORIDA LLC,DESIGN,DESIGN_FIRM,Group 2 High Potential,David Glassman,David Glassman,15911.94,16195.0,24,8,FALSE,N,FALSE,FALSE,N
1027807,Trade Mark Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,David Glassman,David Glassman,50.0,15959.07,0,11,FALSE,N,FALSE,FALSE,N
1003313,Sarin Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,David Glassman,David Glassman,1234.0,15941.71,1,6,FALSE,N,FALSE,FALSE,N
1001645,Wirth Design Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,16293.6,15796.45,7,8,FALSE,N,FALSE,FALSE,N
1014916,Artistic View,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,2492.0,15775.0,4,3,FALSE,N,FALSE,FALSE,N
1010671,Schiller Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,David Glassman,David Glassman,8241.5,15675.0,9,11,FALSE,N,FALSE,FALSE,N
1019116,Adelyn Charles Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,42230.0,15300.0,15,8,FALSE,N,FALSE,FALSE,N
1000933,Jerome H Davis Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,0.0,15237.0,0,2,FALSE,N,FALSE,FALSE,N
1021392,McNally Construction Group,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,David Glassman,David Glassman,4400.0,14880.0,1,2,FALSE,N,FALSE,FALSE,N
1005761,Indian River Furniture,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,David Glassman,David Glassman,20300.35,14592.4,52,36,FALSE,N,FALSE,FALSE,N
1021979,Blue Daze Designs,DESIGN,DESIGN_FIRM,Group 2 High Potential,David Glassman,David Glassman,5209.5,14518.94,4,9,FALSE,N,FALSE,FALSE,N
1024372,Terri Faye Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,15345.5,14456.0,8,13,FALSE,N,FALSE,FALSE,N
1006784,Rooms To Go,RETAIL,NATIONAL,Group 2 Medium Potential,David Glassman,David Glassman,3200.0,14255.0,5,9,FALSE,N,FALSE,FALSE,N
1022555,Abide Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,David Glassman,David Glassman,8178.9,14073.9,10,12,FALSE,N,FALSE,FALSE,N
1018520,"Eric Horner Interiors, Inc.",DESIGN,DESIGN_FIRM,Group 2 High Potential,David Glassman,David Glassman,3748.0,13897.73,4,11,FALSE,N,FALSE,FALSE,N
1014668,Niemann Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,David Glassman,David Glassman,12808.0,13785.18,5,8,FALSE,N,FALSE,FALSE,N
1024431,Ale Cretul Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,David Glassman,David Glassman,2710.0,13533.11,3,9,FALSE,N,FALSE,FALSE,N
1027126,WYC Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,David Glassman,David Glassman,5523.0,13408.09,5,1,FALSE,N,FALSE,FALSE,N
