Rep Detail Report V2: Enricus Coone,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:43:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
611,3397995.4,648474.14,317,274066.0,2,0.0,0,0.0,286,31,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 3 Medium Potential: ,164,228260.5,0,159,,,,,,,,,,
Group 2 Medium Potential: ,34,167343.61,0,0,,,,,,,,,,
Group 2 High Potential: ,23,142508.01,0,0,,,,,,,,,,
Group 3 Low Potential: ,325,48722.1,2,157,,,,,,,,,,
Group 1 High Potential: ,1,41333.2,0,0,,,,,,,,,,
Group 3 High Potential: ,64,20306.72,0,1,,,,,,,,,,
Totals,611,648474.14,2,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $41333.20 revenue,,,,,,,,,,,,,,,
1021521,Dove Mountain Homes,DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,2908.0,0,1,TRUE,N,FALSE,FALSE,N
1019256,House of Amelia,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,2817.6,0,3,TRUE,N,FALSE,FALSE,N
1017541,"Laura Motley Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,2811.0,0,1,FALSE,N,FALSE,FALSE,N
1010039,Abby Industries - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,3862.0,2790.0,4,4,FALSE,N,FALSE,FALSE,N
1022801,Ampersand Living,DESIGN,DESIGN_FIRM,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,2687.0,0,2,TRUE,N,FALSE,FALSE,N
1019498,Belle Decors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,2670.0,0,1,FALSE,N,FALSE,FALSE,N
1023618,Edith Gregson Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,2618.0,0,1,TRUE,N,FALSE,FALSE,N
1019632,K Pratt Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,2601.0,0,1,FALSE,N,FALSE,FALSE,N
1019951,Elkins & Co Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,2515.0,0,1,FALSE,N,FALSE,FALSE,N
1025057,"BAY WILLOW LIVING,LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Enricus Coone,Enricus Coone,0.0,2515.0,0,1,TRUE,N,FALSE,FALSE,N
1001434,Anne Markstein Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Enricus Coone,Enricus Coone,0.0,2508.0,0,3,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 234 accounts | $23223.32 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1023104,Lisa Marra Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,2175.0,0,1,TRUE,N,FALSE,FALSE,N
1024981,I.D Studio,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,2010.72,0,1,TRUE,N,FALSE,FALSE,N
1025716,Studio Broad,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,1508.0,0,1,TRUE,N,FALSE,FALSE,N
1018787,Amanda Boyd Interiors,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Enricus Coone,Enricus Coone,0.0,1290.0,0,1,FALSE,N,FALSE,FALSE,N
1015612,The Light Center,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Enricus Coone,Enricus Coone,0.0,1200.0,0,1,FALSE,N,FALSE,FALSE,N
1023817,Studio Athena,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,1158.0,0,3,TRUE,N,FALSE,FALSE,N
1023907,Kathy Monteiro Designer and Associates,RETAIL,MULTIPLE_LOCATIONS,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,1147.5,0,1,TRUE,N,FALSE,FALSE,N
1015606,Sarajane Johnson Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,1110.0,0,1,TRUE,N,FALSE,FALSE,N
1016140,Adobe Design Studio dba Studio Dubarry,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,1019.0,0,2,TRUE,N,FALSE,FALSE,N
1036369,SS Enricus Coone,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,897.0,0,2,TRUE,N,FALSE,FALSE,N
1015349,The Workroom  (CA),RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Enricus Coone,Enricus Coone,0.0,865.0,0,1,FALSE,N,FALSE,FALSE,N
1022362,Dezeno & Co.,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,860.0,0,1,TRUE,N,FALSE,FALSE,N
1004673,Furniture Gallery of Prince Frederick,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Enricus Coone,Enricus Coone,472.0,700.0,2,1,FALSE,N,FALSE,FALSE,N
1016352,shirley parks design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,635.0,0,1,TRUE,N,FALSE,FALSE,N
1018188,Elinor Brown Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,630.0,0,1,TRUE,N,FALSE,FALSE,N
1023614,Lofty Designs LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,600.0,0,1,TRUE,N,FALSE,FALSE,N
1024460,Be Home & Garden,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Enricus Coone,Enricus Coone,0.0,580.0,0,1,FALSE,N,FALSE,FALSE,N
1024676,Andrea Rose Design Co/Decorating Den Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,457.0,0,1,TRUE,N,FALSE,FALSE,N
1021714,allen design group llc,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,445.0,0,1,TRUE,N,FALSE,FALSE,N
1017315,Natalie Victoria Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,436.5,0,1,TRUE,N,FALSE,FALSE,N
1020213,Loop One Design Group,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,415.0,0,1,TRUE,N,FALSE,FALSE,N
1017465,ASM Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,405.0,0,1,TRUE,N,FALSE,FALSE,N
1024242,The Wakem Group - Tasteful Dwellings,DESIGN,DESIGN_FIRM,Group 3 High Potential,Enricus Coone,Enricus Coone,0.0,360.0,0,1,TRUE,N,FALSE,FALSE,N
